time,avg_T,max_vel_z,min_vel_z,outlet_avg_T,power_density_avg
0.0001,898,1.304937506277,-0.5905118953765,898,0
0.0002,898,1.3776171502232,-0.59071202702876,898,0
0.0003,898,1.4572156710343,-0.59109703651107,898,0
0.00042,898,1.4885910816445,-0.59134635776154,898,0
0.000564,898,1.5000933737041,-0.59156356107651,898,0
0.0007368,898,1.5028586730179,-0.59180004211101,898,0
0.00094416,898,1.5014594271264,-0.59207837545277,898,0
0.001192992,898,1.4977657485466,-0.59241215729354,898,0
0.0014915904,898,1.4925033840433,-0.59281388095889,898,0
0.00184990848,898,1.4859052337541,-0.59329785193005,898,0
0.002279890176,898,1.4779887583646,-0.59388148967958,898,0
0.0027958682112,898,1.4686774260666,-0.5945862264216,898,0
0.00341504185344,898,1.4578580649796,-0.59543829394311,898,0
0.004158050224128,898,1.4454133543017,-0.59646960647456,898,0
0.0050496602689536,898,1.4312469005499,-0.59771865594757,898,0
0.0061195923227443,898,1.4153080392214,-0.59923146731767,898,0
0.0074035107872932,898,1.3976242720892,-0.60106160871476,898,0
0.0089442129447518,898,1.378323017496,-0.60327274943306,898,0
0.010793055533702,898,1.3576743460236,-0.605936352795,898,0
0.013011666640443,898,1.3361178365327,-0.60913090454108,898,0
0.015673999968531,898,1.3142806033193,-0.6129381412827,898,0
0.018868799962237,898,1.3060284818616,-0.61743554149178,898,0
0.022702559954685,898,1.3427554901227,-0.6226845735576,898,0
0.027303071945622,898,1.3878511191445,-0.62870977096116,898,0
0.032823686334746,898,1.4436775006266,-0.63547248294368,898,0
0.039448423601695,898,1.5136232629128,-0.64283157673919,898,0
0.047398108322034,898,1.6011519475273,-0.6505022463632,898,0
0.056937729986441,898,1.7079597325893,-0.65809340969071,898,0
0.06838527598373,898,1.8162924441886,-0.66512628965916,898,0
0.082122331180476,898,1.9137437397671,-0.67078392781595,898,0
0.098606797416571,898,1.9987661670862,-0.67459765461297,898,0
0.11838815689988,898,2.1150985487925,-0.67639256581866,898,0
0.14212578827986,898,2.3814972771272,-0.70321025119516,898,0
0.15399460396985,898,2.4459952491504,-0.85378313334619,898,0
0.15992901181484,898,2.4374317642549,-0.93399657651519,898,0
0.16289621573734,898,2.3967919212059,-0.97647232533831,898,0
0.16437981769859,898,2.3452382491733,-0.99933326499288,898,0
0.16512161867921,898,2.2942487070801,-1.0121033619688,898,0
0.16549251916953,898,2.2491918384828,-1.0196398855307,898,0
0.16586341965984,898,2.2190150288627,-1.0272937732715,898,0
0.16630850024821,898,2.2063134513594,-1.0359572300186,898,0
0.16684259695426,898,2.2094720663767,-1.0457613777496,898,0
0.16748351300152,898,2.2096832633945,-1.0569811912679,898,0
0.16825261225823,898,2.2075664560875,-1.069981330208,898,0
0.16871407181226,898,2.2123917994547,-1.0777712884676,898,0
0.16894480158927,898,2.2198428286115,-1.0818355106517,898,0
0.16906016647778,898,2.2266248190789,-1.0841069110966,898,0
0.16917553136629,898,2.2306993218682,-1.0864318418659,898,0
0.16929089625479,898,2.2332280328769,-1.088733653283,898,0
0.16934857869905,898,2.2360725051284,-1.090035691942,898,0
0.16941779763215,898,2.2375921941315,-1.0915027670869,898,0
0.16950086035188,898,2.2382864144017,-1.0931496616311,898,0
0.16960053561555,898,2.2384258689958,-1.0950162496705,898,0
0.16972014593195,898,2.2381545487952,-1.0971581701067,898,0
0.16986367831163,898,2.2375425019463,-1.0996451313092,898,0
0.17003591716726,898,2.2366130747399,-1.1025597894525,898,0
0.170242603794,898,2.2353567821136,-1.105999965615,898,0
0.1704906277461,898,2.2337375130017,-1.110080602731,898,0
0.17078825648861,898,2.2316943408789,-1.1149378553546,898,0
0.17114541097963,898,2.2291399237007,-1.1207335491133,898,0
0.17157399636885,898,2.2259563177546,-1.1276597422969,898,0
0.17208829883591,898,2.2219887362774,-1.1359461779075,898,0
0.17270546179639,898,2.2170363070687,-1.1458673851588,898,0
0.17344605734896,898,2.2165816554646,-1.1577534965796,898,0
0.17433477201204,898,2.2378918003459,-1.1720025517358,898,0
0.17540122960775,898,2.2634296226391,-1.1890993536257,898,0
0.17668097872259,898,2.2939922047679,-1.2096371058989,898,0
0.1782166776604,898,2.3305552582819,-1.2343608945695,898,0
0.18005951638578,898,2.3743603436388,-1.2642376329553,898,0
0.18227092285623,898,2.4269999672761,-1.3005191463543,898,0
0.18492461062077,898,2.490649309798,-1.3449436687399,898,0
0.18810903593822,898,2.5684386499136,-1.3999660699818,898,0
0.19193034631916,898,2.6650901425052,-1.4637541661158,898,0
0.19651591877628,898,2.7879391427472,-1.5366003134786,898,0
0.20201860572484,898,2.9484081516752,-1.617783786215,898,0
0.2086218300631,898,3.1636762688533,-1.7038345676123,898,0
0.21654569926901,898,3.4566008083897,-1.7870277024883,898,0
0.22605434231611,898,3.7818175417383,-1.8539513937499,898,0
0.23746471397262,898,4.1197756924651,-1.8868888966944,898,0
0.25115715996044,898,4.4311031821945,-1.8690649530962,898,0
0.26758809514583,898,4.6493466813077,-1.9371603160042,898,0
0.28730521736829,898,4.7599604525952,-2.213671603156,898,0
0.31096576403524,898,4.7817197343286,-2.5501787230316,898,0
0.33935842003558,898,4.8413568272218,-2.9608113445079,898,0
0.37342960723599,898,4.6921967180423,-3.464464864726,898,0
0.41431503187649,898,4.7348407232949,-3.9943218231877,898,0
0.46337754144508,898,5.6129516065104,-4.5280662713105,898,0
0.52225255292739,898,6.6458053362524,-5.0825668996679,898,0
0.59290256670616,898,7.8328701790208,-5.6936693829106,898,0
0.62822757359555,898,8.4699959184618,-6.0119655911999,898,0
