time,avg_T,avg_TKE,max_vel_z,min_vel_z,outlet_avg_T,power_density_avg
0.0001,898,0.0045143002841423,5.7963157424436,-1.1479289447055,898,0
0.000125,898,0.0054588967798919,5.8495673902288,-1.2646985863038,898,0
0.0001375,898,0.0062080062533856,5.880481508936,-1.2700763763997,898,0
0.00014375,898,0.0065433764463586,5.9206543212892,-1.2700639441886,898,0
0.00015125,898,0.0069827487724495,5.9370799757223,-1.2696362490144,898,0
0.00016025,898,0.0075731216871487,5.939092615273,-1.269117779615,898,0
0.00017105,898,0.0082402322030196,5.9358589544909,-1.2685508990776,898,0
0.00018401,898,0.0089882781179635,5.9308706155904,-1.267935093637,898,0
0.000199562,898,0.0098310503454676,8.827976454648,-1.2672899618608,898,0
0.0002182244,898,0.010761574814256,15.931382698209,-1.2667139299012,898,0
0.00022102376,898,0.010950055849367,17.083688888131,-1.2665285015033,898,0
